Orthogroup	adv	ath	aza	azd	azi	Total
OG0000438	0	21	0	0	0	21
OG0000439	0	21	0	0	0	21
OG0000440	2	2	6	5	5	20
OG0000441	1	19	0	0	0	20
OG0000442	1	17	1	0	1	20
OG0000443	0	20	0	0	0	20
OG0000444	0	20	0	0	0	20
OG0000445	0	20	0	0	0	20
OG0000446	0	20	0	0	0	20
OG0000447	0	20	0	0	0	20
OG0000448	0	20	0	0	0	20
OG0000449	0	20	0	0	0	20
OG0000450	0	20	0	0	0	20
OG0000451	0	20	0	0	0	20
OG0000452	0	20	0	0	0	20
OG0000453	0	20	0	0	0	20
OG0000454	0	20	0	0	0	20
OG0000455	0	20	0	0	0	20
OG0000456	0	20	0	0	0	20
OG0000457	0	20	0	0	0	20
OG0000458	0	20	0	0	0	20
OG0000459	0	20	0	0	0	20
OG0000460	0	20	0	0	0	20
OG0000461	0	20	0	0	0	20
OG0000462	0	20	0	0	0	20
OG0000463	0	20	0	0	0	20
OG0000464	0	20	0	0	0	20
OG0000465	0	20	0	0	0	20
OG0000466	0	20	0	0	0	20
OG0000467	3	7	2	5	2	19
OG0000468	3	0	8	2	6	19
OG0000469	4	0	7	5	3	19
OG0000470	1	15	1	1	1	19
OG0000471	1	17	0	1	0	19
OG0000472	0	19	0	0	0	19
OG0000473	0	19	0	0	0	19
OG0000474	0	19	0	0	0	19
OG0000475	0	19	0	0	0	19
OG0000476	0	19	0	0	0	19
OG0000477	0	19	0	0	0	19
OG0000478	0	19	0	0	0	19
OG0000479	0	19	0	0	0	19
OG0000480	0	19	0	0	0	19
OG0000481	0	19	0	0	0	19
OG0000482	0	19	0	0	0	19
OG0000483	0	18	0	0	1	19
OG0000484	0	19	0	0	0	19
OG0000485	0	19	0	0	0	19
OG0000486	0	19	0	0	0	19
OG0000487	0	19	0	0	0	19
OG0000488	0	19	0	0	0	19
OG0000489	0	19	0	0	0	19
OG0000490	0	19	0	0	0	19
OG0000491	0	19	0	0	0	19
OG0000492	0	19	0	0	0	19
OG0000493	0	19	0	0	0	19
OG0000494	0	19	0	0	0	19
OG0000495	0	19	0	0	0	19
OG0000496	0	19	0	0	0	19
OG0000497	0	19	0	0	0	19
OG0000498	0	19	0	0	0	19
OG0000499	0	19	0	0	0	19
OG0000500	0	19	0	0	0	19
OG0000501	0	19	0	0	0	19
OG0000502	0	19	0	0	0	19
OG0000503	0	19	0	0	0	19
OG0000504	0	19	0	0	0	19
OG0000505	0	19	0	0	0	19
OG0000506	0	19	0	0	0	19
OG0000507	0	0	11	4	4	19
OG0000508	18	0	0	0	0	18
OG0000509	1	14	1	1	1	18
OG0000510	1	1	6	4	6	18
OG0000511	1	12	2	2	1	18
OG0000512	1	14	1	1	1	18
OG0000513	3	1	6	4	4	18
OG0000514	1	17	0	0	0	18
OG0000515	1	17	0	0	0	18
OG0000516	1	14	1	1	1	18
OG0000517	1	9	3	3	2	18
OG0000518	0	18	0	0	0	18
OG0000519	0	18	0	0	0	18
OG0000520	0	18	0	0	0	18
OG0000521	0	18	0	0	0	18
OG0000522	0	18	0	0	0	18
OG0000523	0	18	0	0	0	18
OG0000524	0	18	0	0	0	18
OG0000525	0	18	0	0	0	18
OG0000526	0	18	0	0	0	18
OG0000527	0	18	0	0	0	18
OG0000528	0	18	0	0	0	18
OG0000529	0	18	0	0	0	18
OG0000530	0	18	0	0	0	18
OG0000531	0	18	0	0	0	18
OG0000532	0	18	0	0	0	18
OG0000533	0	18	0	0	0	18
OG0000534	0	18	0	0	0	18
OG0000535	0	18	0	0	0	18
OG0000536	0	18	0	0	0	18
OG0000537	0	18	0	0	0	18
OG0000538	0	18	0	0	0	18
OG0000539	0	18	0	0	0	18
OG0000540	0	18	0	0	0	18
OG0000541	0	18	0	0	0	18
OG0000542	0	18	0	0	0	18
OG0000543	0	18	0	0	0	18
OG0000544	0	18	0	0	0	18
OG0000545	0	18	0	0	0	18
OG0000546	0	18	0	0	0	18
OG0000547	0	18	0	0	0	18
OG0000548	0	18	0	0	0	18
OG0000549	0	18	0	0	0	18
OG0000550	0	18	0	0	0	18
OG0000551	0	18	0	0	0	18
OG0000552	0	18	0	0	0	18
OG0000553	0	18	0	0	0	18
OG0000554	0	18	0	0	0	18
OG0000555	0	18	0	0	0	18
OG0000556	0	18	0	0	0	18
OG0000557	0	0	14	3	1	18
OG0000558	2	10	2	1	2	17
OG0000559	1	11	2	2	1	17
OG0000560	2	10	0	1	4	17
OG0000561	1	14	0	1	1	17
OG0000562	2	7	3	3	2	17
OG0000563	1	4	7	1	4	17
OG0000564	0	17	0	0	0	17
OG0000565	0	17	0	0	0	17
OG0000566	0	17	0	0	0	17
OG0000567	0	17	0	0	0	17
OG0000568	0	17	0	0	0	17
OG0000569	0	17	0	0	0	17
OG0000570	0	17	0	0	0	17
OG0000571	0	17	0	0	0	17
OG0000572	0	17	0	0	0	17
OG0000573	0	17	0	0	0	17
OG0000574	0	17	0	0	0	17
OG0000575	0	17	0	0	0	17
OG0000576	0	17	0	0	0	17
OG0000577	0	17	0	0	0	17
OG0000578	0	17	0	0	0	17
OG0000579	0	17	0	0	0	17
OG0000580	0	17	0	0	0	17
OG0000581	0	17	0	0	0	17
OG0000582	0	17	0	0	0	17
OG0000583	0	17	0	0	0	17
OG0000584	0	17	0	0	0	17
OG0000585	0	17	0	0	0	17
OG0000586	0	17	0	0	0	17
OG0000587	0	17	0	0	0	17
OG0000588	0	17	0	0	0	17
OG0000589	0	17	0	0	0	17
OG0000590	0	17	0	0	0	17
OG0000591	0	17	0	0	0	17
OG0000592	0	17	0	0	0	17
OG0000593	0	17	0	0	0	17
OG0000594	0	16	1	0	0	17
OG0000595	0	17	0	0	0	17
OG0000596	0	17	0	0	0	17
OG0000597	0	17	0	0	0	17
OG0000598	0	17	0	0	0	17
OG0000599	0	16	1	0	0	17
OG0000600	0	17	0	0	0	17
OG0000601	0	16	0	0	1	17
OG0000602	0	17	0	0	0	17
OG0000603	0	17	0	0	0	17
OG0000604	0	17	0	0	0	17
OG0000605	0	17	0	0	0	17
OG0000606	0	17	0	0	0	17
OG0000607	0	17	0	0	0	17
OG0000608	3	10	2	0	1	16
OG0000609	1	9	3	1	2	16
OG0000610	1	13	1	1	0	16
OG0000611	0	16	0	0	0	16
OG0000612	0	16	0	0	0	16
OG0000613	0	16	0	0	0	16
OG0000614	0	16	0	0	0	16
OG0000615	0	16	0	0	0	16
OG0000616	0	16	0	0	0	16
OG0000617	0	16	0	0	0	16
OG0000618	0	16	0	0	0	16
OG0000619	0	16	0	0	0	16
OG0000620	0	16	0	0	0	16
OG0000621	0	16	0	0	0	16
OG0000622	0	16	0	0	0	16
OG0000623	0	16	0	0	0	16
OG0000624	0	16	0	0	0	16
OG0000625	0	16	0	0	0	16
OG0000626	0	16	0	0	0	16
OG0000627	0	16	0	0	0	16
OG0000628	0	16	0	0	0	16
OG0000629	0	16	0	0	0	16
OG0000630	0	16	0	0	0	16
OG0000631	0	16	0	0	0	16
OG0000632	0	16	0	0	0	16
OG0000633	0	16	0	0	0	16
OG0000634	0	16	0	0	0	16
OG0000635	0	16	0	0	0	16
OG0000636	0	16	0	0	0	16
OG0000637	0	16	0	0	0	16
OG0000638	0	16	0	0	0	16
OG0000639	0	16	0	0	0	16
OG0000640	0	16	0	0	0	16
OG0000641	0	16	0	0	0	16
OG0000642	0	16	0	0	0	16
OG0000643	0	16	0	0	0	16
OG0000644	0	16	0	0	0	16
OG0000645	0	16	0	0	0	16
OG0000646	0	16	0	0	0	16
OG0000647	0	16	0	0	0	16
OG0000648	0	16	0	0	0	16
OG0000649	0	16	0	0	0	16
OG0000650	0	16	0	0	0	16
OG0000651	0	16	0	0	0	16
OG0000652	0	16	0	0	0	16
OG0000653	0	16	0	0	0	16
OG0000654	0	16	0	0	0	16
OG0000655	0	16	0	0	0	16
OG0000656	0	16	0	0	0	16
OG0000657	0	15	1	0	0	16
OG0000658	1	12	1	0	1	15
OG0000659	1	14	0	0	0	15
OG0000660	1	11	1	1	1	15
OG0000661	1	10	1	1	2	15
OG0000662	1	10	2	1	1	15
OG0000663	0	15	0	0	0	15
OG0000664	0	15	0	0	0	15
OG0000665	0	15	0	0	0	15
OG0000666	0	15	0	0	0	15
OG0000667	0	15	0	0	0	15
OG0000668	0	15	0	0	0	15
OG0000669	0	15	0	0	0	15
OG0000670	0	15	0	0	0	15
OG0000671	0	15	0	0	0	15
OG0000672	0	15	0	0	0	15
OG0000673	0	15	0	0	0	15
OG0000674	0	15	0	0	0	15
OG0000675	0	15	0	0	0	15
OG0000676	0	15	0	0	0	15
OG0000677	0	15	0	0	0	15
OG0000678	0	15	0	0	0	15
OG0000679	0	15	0	0	0	15
OG0000680	0	15	0	0	0	15
OG0000681	0	15	0	0	0	15
OG0000682	0	15	0	0	0	15
OG0000683	0	15	0	0	0	15
OG0000684	0	15	0	0	0	15
OG0000685	0	15	0	0	0	15
OG0000686	0	15	0	0	0	15
OG0000687	0	15	0	0	0	15
OG0000688	0	15	0	0	0	15
OG0000689	0	15	0	0	0	15
OG0000690	0	15	0	0	0	15
OG0000691	0	15	0	0	0	15
OG0000692	0	15	0	0	0	15
OG0000693	0	15	0	0	0	15
OG0000694	0	15	0	0	0	15
OG0000695	0	15	0	0	0	15
OG0000696	0	15	0	0	0	15
OG0000697	0	15	0	0	0	15
OG0000698	0	15	0	0	0	15
OG0000699	0	15	0	0	0	15
OG0000700	0	15	0	0	0	15
OG0000701	0	15	0	0	0	15
OG0000702	0	15	0	0	0	15
OG0000703	0	15	0	0	0	15
OG0000704	0	15	0	0	0	15
OG0000705	0	15	0	0	0	15
OG0000706	0	7	2	4	2	15
OG0000707	0	0	6	6	3	15
OG0000708	3	0	4	3	4	14
OG0000709	1	12	1	0	0	14
OG0000710	1	9	2	1	1	14
OG0000711	1	10	1	1	1	14
OG0000712	2	6	2	2	2	14
OG0000713	1	6	2	2	3	14
OG0000714	1	10	1	1	1	14
OG0000715	2	0	5	3	4	14
OG0000716	2	7	2	1	2	14
OG0000717	1	9	0	2	2	14
OG0000718	1	5	3	3	2	14
OG0000719	0	14	0	0	0	14
OG0000720	0	14	0	0	0	14
OG0000721	0	14	0	0	0	14
OG0000722	0	14	0	0	0	14
OG0000723	0	14	0	0	0	14
OG0000724	0	14	0	0	0	14
OG0000725	0	14	0	0	0	14
OG0000726	0	14	0	0	0	14
OG0000727	0	14	0	0	0	14
OG0000728	0	14	0	0	0	14
OG0000729	0	14	0	0	0	14
OG0000730	0	14	0	0	0	14
OG0000731	0	14	0	0	0	14
OG0000732	0	14	0	0	0	14
OG0000733	0	14	0	0	0	14
OG0000734	0	14	0	0	0	14
OG0000735	0	14	0	0	0	14
OG0000736	0	14	0	0	0	14
OG0000737	0	14	0	0	0	14
OG0000738	0	14	0	0	0	14
OG0000739	0	14	0	0	0	14
OG0000740	0	14	0	0	0	14
OG0000741	0	13	1	0	0	14
OG0000742	0	14	0	0	0	14
OG0000743	0	14	0	0	0	14
OG0000744	0	14	0	0	0	14
OG0000745	0	14	0	0	0	14
OG0000746	0	14	0	0	0	14
OG0000747	0	14	0	0	0	14
OG0000748	0	14	0	0	0	14
OG0000749	0	14	0	0	0	14
OG0000750	0	14	0	0	0	14
OG0000751	0	14	0	0	0	14
OG0000752	0	14	0	0	0	14
OG0000753	0	14	0	0	0	14
OG0000754	0	14	0	0	0	14
OG0000755	0	14	0	0	0	14
OG0000756	0	14	0	0	0	14
OG0000757	0	14	0	0	0	14
OG0000758	0	14	0	0	0	14
OG0000759	0	14	0	0	0	14
OG0000760	0	14	0	0	0	14
OG0000761	0	14	0	0	0	14
OG0000762	0	14	0	0	0	14
OG0000763	0	14	0	0	0	14
OG0000764	0	14	0	0	0	14
OG0000765	0	14	0	0	0	14
OG0000766	0	14	0	0	0	14
OG0000767	0	14	0	0	0	14
OG0000768	0	14	0	0	0	14
OG0000769	0	14	0	0	0	14
